name,desc,last_30_d,last_90_d,last_year,build_error
gphoto2,Command-line interface to libgphoto2,316,1056,3596,0
gping,"Ping, but with a graph",469,3469,3470,0
gplcver,Pragmatic C Software GPL Cver 2001,1,3,10,0
gpm,Barebones dependency manager for Go,13,67,274,0
gpp,General-purpose preprocessor with customizable syntax,925,2337,6393,0
gpredict,Real-time satellite tracking/prediction application,66,169,610,0
gprof2dot,Convert the output from many profilers into a Graphviz dot graph,199,698,3075,0
gpsbabel,"Converts/uploads GPS waypoints, tracks, and routes",100,313,1708,0
gpsd,Global Positioning System (GPS) daemon,108,304,1521,0
gpsim,Simulator for Microchip's PIC microcontrollers,2,14,53,0
gptfdisk,Text-mode partitioning tools,423,640,2518,0
gptsync,GPT and MBR partition tables synchronization tool,16,48,237,0
gputils,GNU PIC Utilities,102,312,1332,0
gpx,Gcode to x3g converter for 3D printers running Sailfish,17,66,174,0
gqlplus,"Drop-in replacement for sqlplus, an Oracle SQL client",2,17,65,0
gqview,Image browser,20,61,223,0
gr-osmosdr,Osmocom GNU Radio Blocks,59,881,2800,0
grace,WYSIWYG 2D plotting tool for X11,609,1816,4344,0
gradio,GTK3 app for finding and listening to internet radio stations,0,12,76,0
gradle,Open-source build automation tool based on the Groovy and Kotlin DSL,56015,143227,559988,0
gradle-completion,Bash and Zsh completion for Gradle,239,585,2571,0
gradle-profiler,Profiling and benchmarking tool for Gradle builds,29,166,341,0
grafana,Gorgeous metric visualizations and dashboards for timeseries databases,4554,12902,59664,0
grails,Web application framework for the Groovy language,337,865,3640,0
grakn,Distributed hyper-relational database for knowledge engineering,30,89,420,0
grap,Language for typesetting graphs,3,9,69,0
graph-tool,Efficient network analysis for Python 3,370,1471,5008,0
graphene,Thin layer of graphic data types,3088,9631,21542,0
graphicsmagick,Image processing tools collection,11225,31310,115989,0
graphite2,Smart font renderer for non-Roman scripts,85517,259364,1231007,0
graphql-cli,Command-line tool for common GraphQL development workflows,36,84,283,0
graphviz,Graph visualization software from AT&T and Bell Labs,65115,130824,577602,0
gravity,Embeddable programming language,11,33,108,0
grc,Colorize logfiles and command output,1189,3874,16869,0
greed,Game of consumption,22,45,190,0
grep,"GNU grep, egrep and fgrep",7850,23745,83192,0
grepcidr,Filter IP addresses matching IPv4 CIDR/network specification,52,148,537,0
grex,Command-line tool for generating regular expressions,70,223,849,0
griffon,Application framework for desktop applications in the JVM,0,1,5,0
grin,Minimal implementation of the Mimblewimble protocol,49,133,398,0
grin-wallet,Official wallet for the cryptocurrency Grin,76,171,415,0
grip,GitHub Markdown previewer,537,1925,9159,0
groff,GNU troff text-formatting system,297,1279,2790,0
grok,Powerful pattern-matching/reacting too,20,42,186,0
grokj2k,JPEG 2000 Library,17,22,22,0
grokmirror,Framework to smartly mirror git repositories,6,6,6,0
gromacs,Versatile package for molecular dynamics calculations,326,794,2687,0
