name,desc,last_30_d,last_90_d,last_year,build_error
a2ps,Any-to-PostScript filter,106,263,1013,0
a52dec,Library for decoding ATSC A/52 streams (AKA 'AC-3'),100,242,732,0
aacgain,AAC-supporting version of mp3gain,60,150,602,0
aalib,Portable ASCII art graphics library,595,799,1681,0
aamath,Renders mathematical expressions as ASCII art,20,44,185,0
aardvark_shell_utils,Utilities to aid shell scripts or command-line users,21,49,153,0
abcde,Better CD Encoder,80,394,766,0
abcl,Armed Bear Common Lisp: a full implementation of Common Lisp,50,106,580,0
abcm2ps,ABC music notation software,23,168,447,0
abcmidi,Converts abc music notation files to MIDI files,123,268,1298,0
abduco,Provides session management: i.e. separate programs from terminals,16,44,158,0
abnfgen,Quickly generate random documents that match an ABFN grammar,3,11,35,0
abook,Address book with mutt support,38,168,784,0
abseil,C++ Common Libraries,7211,20517,37590,0
abuse,Dark 2D side-scrolling platform game,24,71,330,0
abyss,Genome sequence assembler for short reads,32,112,561,0
ace,ADAPTIVE Communication Environment: OO network programming in C++,126,247,985,0
aces_container,Reference implementation of SMPTE ST2065-4,44,103,356,0
ack,"Search tool like grep, but optimized for programmers",11733,32368,104963,0
acl2,Logic and programming language in which you can model computer systems,10,40,117,0
acme,Crossassembler for multiple environments,389,1296,7372,0
acmetool,Automatic certificate acquisition tool for ACME (Let's Encrypt),9,37,334,0
acpica,OS-independent implementation of the ACPI specification,78,380,1440,0
act,Run your GitHub Actions locally 🚀,3119,6185,8824,0
activemq,Apache ActiveMQ: powerful open source messaging server,937,1929,9354,0
activemq-cpp,C++ API for message brokers such as Apache ActiveMQ,13,30,121,0
adios2,Next generation of ADIOS developed in the Exascale Computing Program,38,90,260,0
admesh,Processes triangulated solid meshes,9,24,84,0
adns,C/C++ resolver library and DNS resolver utilities,32110,96858,406786,0
adplug,"Free, hardware independent AdLib sound player library",16,30,107,0
adr-tools,CLI tool for working with Architecture Decision Records,477,1109,4194,0
advancecomp,"Recompression utilities for .PNG, .MNG, .ZIP, and .GZ files",159,425,1811,0
advancemame,MAME with advanced video support,18,64,241,0
advancemenu,Frontend for AdvanceMAME/MESS,6,12,73,0
advancescan,Rom manager for AdvanceMAME/MESS,20,37,92,0
adwaita-icon-theme,Icons for the GNOME project,6650,21458,102088,0
aerc,Email client that runs in your terminal,94,218,266,0
aescrypt,Program for encryption/decryption,44,131,497,0
aescrypt-packetizer,Encrypt and decrypt using 256-bit AES encryption,14,31,152,0
aespipe,AES encryption or decryption for pipes,129,289,427,0
afflib,Advanced Forensic Format,669,2420,13722,0
afio,Creates cpio-format archives,3,17,101,0
afl-fuzz,American fuzzy lop: Security-oriented fuzzer,73,441,1456,0
afsctool,Utility for manipulating HFS+ compressed files,51,143,535,0
aften,Audio encoder which generates ATSC A/52 compressed audio streams,974,3353,3520,0
afuse,Automounting file system implemented in userspace with FUSE,5,31,117,0
agda,Dependently typed functional programming language,198,659,2065,0
agedu,Unix utility for tracking down wasted disk space,21,62,473,0
aggregate,Optimizes lists of prefixes to reduce list lengths,8,26,92,0
aha,ANSI HTML adapter,91,245,1008,0
ahcpd,Autoconfiguration protocol for IPv6 and IPv6/IPv4 networks,10,27,72,0
ahoy,Creates self documenting CLI programs from commands in YAML files,52,99,472,0
aida-header,Abstract Interfaces for Data Analysis define interfaces for physics analysis,9,24,24,0
aide,File and directory integrity checker,129,167,292,0
aircrack-ng,Next-generation aircrack with lots of new features,2350,7670,37775,0
airshare,Cross-platform content sharing in a local network,31,93,325,0
airspy,Driver and tools for a software-defined radio,80,350,1343,0
akamai,CLI toolkit for working with Akamai's APIs,220,555,2485,0
akka,"Toolkit for building concurrent, distributed, and fault tolerant apps",14,46,358,0
alac,Basic decoder for Apple Lossless Audio Codec files (ALAC),13,44,134,0
aldo,Morse code learning tool released under GPL,10,29,108,0
alexjs,"Catch insensitive, inconsiderate writing",20,87,340,0
algernon,"Pure Go web server with Lua, Markdown, HTTP/2 and template support",57,89,266,0
algol68g,Algol 68 compiler-interpreter,1272,4472,26170,0
aliddns,Aliyun(Alibaba Cloud) ddns for golang,33,33,33,0
align,Text column alignment filter,8,20,73,0
aliyun-cli,Universal Command-Line Interface for Alibaba Cloud,706,1557,5135,0
allegro,C/C++ multimedia library for cross-platform game development,103,370,1637,0
allure,Flexible lightweight test report tool,1992,6201,21350,0
allureofthestars,Near-future Sci-Fi roguelike and tactical squad combat game,24,88,251,0
alluxio,Open Source Memory Speed Virtual Distributed Storage,42,102,355,0
alot,Text mode MUA using notmuch mail,12,79,361,0
alp,Access Log Profiler,30,45,235,0
alpine,News and email agent,213,731,3752,0
alsa-lib,Provides audio and MIDI functionality to the Linux operating system,0,0,0,0
alure,Manage common tasks with OpenAL applications,16,70,241,0
amap,Perform application protocol detection,2,33,273,0
amazon-ecs-cli,CLI for Amazon ECS to manage clusters and tasks for development,519,1808,7815,0
amdatu-bootstrap,Bootstrapping OSGi development,10,28,79,0
ammonite-repl,Ammonite is a cleanroom re-implementation of the Scala REPL,585,2331,9602,0
amp,Text editor for your terminal,23,102,253,0
ampl-mp,Open-source library for mathematical programming,1135,3388,3548,0
amqp-cpp,C++ library for communicating with a RabbitMQ message broker,55,158,416,0
amtk,"Actions, Menus and Toolbars Kit for GNOME",1548,4632,21670,0
amtterm,Serial-over-LAN (sol) client for Intel AMT,7,13,69,0
analog,Logfile analyzer,15,37,132,0
angband,Dungeon exploration game,44,124,680,0
angle-grinder,Slice and dice log files on the command-line,116,213,766,0
angular-cli,CLI tool for Angular,3687,9385,39008,0
anime-downloader,Download your favourite anime,240,638,2416,0
anjuta,GNOME Integrated Development Environment,56,102,324,0
annie,"Fast, simple and clean video downloader",361,1160,7060,0
ansible,"Automate deployment, configuration, and upgrading",46851,135377,451272,0
ansible-cmdb,Generates static HTML overview page from Ansible facts,47,111,393,0
ansible-lint,Checks ansible playbooks for practices and behaviour,2046,4609,16472,0
ansible@2.8,"Automate deployment, configuration, and upgrading",264,962,3514,0
ansible@2.9,"Automate deployment, configuration, and upgrading",297,304,304,0
ansifilter,"Strip or convert ANSI codes into HTML, (La)Tex, RTF, or BBCode",204,385,1548,0
ansiweather,"Weather in your terminal, with ANSI colors and Unicode symbols",137,443,2774,0
ant,Java build tool,7379,23584,129426,0
ant-contrib,Collection of tasks for Apache Ant,70,161,579,0
ant@1.9,Java build tool,345,1153,6736,0
antibody,Shell plugin manager,278,870,3784,0
antigen,"Plugin manager for zsh, inspired by oh-my-zsh and vundle",783,2187,8388,0
antiword,Utility to read Word (.doc) files,172,466,2159,0
antlr,ANother Tool for Language Recognition,616,2170,5292,0
antlr@2,ANother Tool for Language Recognition,137,373,2121,0
antlr4-cpp-runtime,ANother Tool for Language Recognition C++ Runtime Library,86,352,1281,0
anttweakbar,C/C++ library for adding GUIs to OpenGL apps,17,55,263,0
anycable-go,WebSocket server with action cable protocol,147,427,1437,0
anyenv,All in one for **env,1564,4497,15332,0
aoeui,Lightweight text editor optimized for Dvorak and QWERTY keyboards,1,4,22,0
aom,Codec library for encoding and decoding AV1 video streams,214036,460924,1086332,0
apache-archiva,Build Artifact Repository Manager,12,46,154,0
apache-arrow,Columnar in-memory analytics layer designed to accelerate big data,1232,3353,10959,0
apache-arrow-glib,GLib bindings for Apache Arrow,177,399,1837,0
apache-brooklyn-cli,Apache Brooklyn command-line interface,17,25,133,0
apache-ctakes,NLP system for extraction of information from EMR clinical text,9,21,61,0
apache-drill,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",47,229,824,0
apache-flink,Scalable batch and stream data processing,702,2009,9959,0
apache-forrest,Publishing framework providing multiple output formats,28,43,105,0
apache-geode,In-memory Data Grid for fast transactional data processing,6,55,209,0
apache-opennlp,Machine learning toolkit for processing natural language text,37,70,332,0
apache-spark,Engine for large-scale data processing,3716,10658,56677,0
apachetop,Top-like display of Apache log,12,40,204,0
apcupsd,Daemon for controlling APC UPSes,36,118,479,0
ape,Ajax Push Engine,1,11,61,0
apgdiff,Another PostgreSQL diff tool,13,30,172,0
apib,HTTP performance-testing tool,54,140,628,0
apibuilder-cli,Command-line interface to generate clients for api builder,10,44,340,0
apidoc,RESTful web API Documentation Generator,32,95,187,0
apktool,"Tool for reverse engineering 3rd party, closed, binary Android apps",3218,11206,33492,0
apm-bash-completion,Completion for Atom Package Manager,29,83,342,0
apng2gif,Convert APNG animations into animated GIF format,9,22,75,0
apngasm,"Next generation of apngasm, the APNG assembler",51,113,378,0
apollo,Multi-protocol messaging broker based on ActiveMQ,47,147,747,0
apollo-cli,Command-line tool for Apollo GraphQL,163,478,1385,0
app-engine-java,Google App Engine for Java,31,154,292,0
app-engine-python,Google App Engine,25,57,275,0
apparix,File system navigation via bookmarking directories,6,12,67,0
appium,Automation for Apps,833,1978,6165,0
appledoc,Objective-C API documentation generator,7,148,1740,0
appscale-tools,Command-line tools for working with AppScale,3,17,47,0
appstream-glib,Helper library for reading and writing AppStream metadata,58,131,443,0
apr,Apache Portable Runtime library,103997,177083,469950,0
apr-util,"Companion library to apr, the Apache Portable Runtime library",35842,104637,427839,0
apt-dater,Manage package updates on remote hosts using SSH,41,105,405,0
aptly,Swiss army knife for Debian repository management,57,111,583,0
aqbanking,Generic online banking interface,26,85,327,0
arabica,XML toolkit written in C++,5,15,48,0
arangodb,Multi-Model NoSQL Database,427,1221,4753,0
aravis,Vision library for genicam based cameras,63,115,331,0
arb,C library for arbitrary-precision interval arithmetic,44,129,237,0
arcade-learning-environment,Platform for AI research,21,49,125,0
archey,Graphical system information display for macOS,689,2070,8126,0
archi-steam-farm,Application for idling Steam cards from multiple accounts simultaneously,21,31,95,0
archivemount,File system for accessing archives using libarchive,23,59,300,0
archiver,"Cross-platform, multi-format archive utility",51,101,362,0
arduino-cli,Arduino command-line interface,1396,2527,7835,0
argo,Get stuff done with container-native workflows for Kubernetes,1606,3533,8296,0
argocd,GitOps Continuous Delivery for Kubernetes,3219,8127,12111,0
argon2,Password hashing library and CLI utility,23711,66514,278674,0
argp-standalone,Standalone version of arguments parsing functions from GLIBC,444,1379,5301,0
argtable,ANSI C library for parsing GNU-style command-line options,110,313,1684,0
argus,Audit Record Generation and Utilization System server,9,20,107,0
argus-clients,Audit Record Generation and Utilization System clients,23,42,132,0
argyll-cms,ICC compatible color management system,60,201,747,0
aria2,Download with resuming and segmented downloading,2476,7571,37308,0
arm-linux-gnueabihf-binutils,FSF/GNU binutils for cross-compiling to arm-linux,470,815,3200,0
armadillo,C++ linear algebra library,1516,4105,17363,0
armor,"Uncomplicated, modern HTTP server",25,36,126,0
arp-scan,ARP scanning and fingerprinting tool,765,2414,10443,0
arp-sk,ARP traffic generation tool,21,42,144,0
arpack,Routines to solve large scale eigenvalue problems,6376,22168,79601,0
arping,Utility to check whether MAC addresses are already taken on a LAN,454,1261,7226,0
arpoison,UNIX arp cache update utility,3651,8909,37392,0
arrayfire,General purpose GPU library,31,107,207,0
arss,Analyze a sound file into a spectrogram,24,42,118,0
artifactory,Manages binaries,77,270,1381,0
arturo,"Simple, modern and portable programming language for efficient scripting",12,21,63,0
arx-libertatis,"Cross-platform, open source port of Arx Fatalis",25,59,183,0
ascii,List ASCII idiomatic names and octal/decimal code-point forms,48,192,939,0
asciidoc,Formatter/translator for text files to numerous formats. Includes a2x,4788,9033,27723,0
asciidoctor,Text processor and publishing toolchain for AsciiDoc,973,3839,15425,0
asciidoctorj,Java wrapper and bindings for Asciidoctor,20,65,417,0
asciinema,Record and share terminal sessions,1811,6555,32635,0
asciiquarium,Aquarium animation in ASCII art,188,591,2254,0
asciitex,Generate ASCII-art representations of mathematical equations,6,18,63,0
asdf,"Extendable version manager with support for Ruby, Node.js, Erlang & more",5797,16298,60201,0
asimov,Automatically exclude development dependencies from Time Machine backups,119,318,769,0
asio,Cross-platform C++ Library for asynchronous programming,756,2353,7902,0
ask-cli,CLI tool for Alexa Skill Kit,178,483,2350,0
asn1c,Compile ASN.1 specifications into C source code,16,43,198,0
aspcud,Package dependency solver,690,1119,1823,0
aspectj,Aspect-oriented programming for Java,54,85,357,0
aspell,Spell checker with better logic than ispell,28680,81010,356962,0
asroute,CLI to interpret traceroute -a output to show AS names traversed,21,53,115,0
assh,"Advanced SSH config - Regex, aliases, gateways, includes and dynamic hosts",125,323,1465,0
assimp,Portable library for importing many well-known 3D model formats,1388,4239,15873,0
astrometry-net,Automatic identification of astronomical images,79,246,1214,0
astyle,"Source code beautifier for C, C++, C#, and Java",281,829,3479,0
asuka,Gemini Project client written in Rust with NCurses,16,50,149,0
asymptote,Powerful descriptive vector graphics language,53,198,566,0
asyncplusplus,Concurrency framework for C++11,16,27,66,0
atari800,Atari 8-bit machine emulator,16,62,334,0
atasm,Atari MAC/65 compatible assembler for Unix,5,8,44,0
atdtool,Command-line interface for After the Deadline language checker,2,11,75,0
aterm,Annotated Term for tree-like ADT exchange,6,16,77,0
atf,Automated testing framework,4,10,37,0
athenacli,CLI tool for AWS Athena service,26,84,176,0
atk,GNOME accessibility toolkit,13043,41132,209763,0
atkmm,Official C++ interface for the ATK accessibility toolkit library,1688,8009,18357,0
atkmm@2.28,Official C++ interface for the ATK accessibility toolkit library,4173,7697,7697,0
atlantis,Terraform Pull Request Automation tool,88,183,742,0
atlassian-cli,Command-line interface clients for Atlassian products,98,252,1271,0
atomicparsley,MPEG-4 command-line tool,2054,3788,8296,0
atomist-cli,Unified command-line tool for interacting with Atomist services,2,6,102,0
atool,Archival front-end,224,615,1932,0
ats2-postiats,Programming language with formal specification features,7,47,185,0
attr,Manipulate filesystem extended attributes,0,0,0,0
aubio,Extract annotations from audio signals,110,370,1750,0
audacious,Free and advanced audio player based on GTK+,102,268,1319,0
audiofile,Reads and writes many common audio file formats,64,188,775,0
auditbeat,Lightweight Shipper for Audit Data,50,97,486,0
augeas,Configuration editing tool and API,3199,9410,41296,0
augustus,Predict genes in eukaryotic genomic sequences,27,81,296,0
aurora,Beanstalkd queue server console,39,66,318,0
aurora-cli,Apache Aurora Scheduler Client,0,2,120,0
austin,Python frame stack sampler for CPython,24,87,212,0
autobench,Automatic webserver benchmark tool,2,19,90,0
autocode,"Code automation for every language, library and framework",26,62,234,0
autoconf,Automatic configure script builder,112959,317151,1163364,0
autoconf-archive,Collection of over 500 reusable autoconf macros,577,2004,9878,0
autoconf@2.13,Automatic configure script builder,61,218,1707,0
autodiff,Automatic differentiation made easier for C++,10,69,158,0
autoenv,"Per-project, per-directory shell environments",274,785,3679,0
autogen,Automated text file generator,534,1592,7265,0
autojump,Shell extension to jump to frequently used directories,4498,15566,58496,0
automake,Tool for generating GNU Standards-compliant Makefiles,69884,253037,938515,0
automysqlbackup,Automate MySQL backups,25,55,202,0
autopano-sift-c,Find control points in overlapping image pairs,6,15,65,0
autopep8,Automatically formats Python code to conform to the PEP 8 style guide,725,1494,7717,0
autopsy,Graphical interface to Sleuth Kit investigation tools,100,248,1534,0
autorest,Swagger (OpenAPI) Specification code generator,131,193,428,0
autossh,Automatically restart SSH sessions and tunnels,663,2019,9318,0
avanor,Quick-growing roguelike game with easy ADOM-like UI,5,10,47,0
avce00,Make Arc/Info (binary) Vector Coverages appear as E00,1,4,14,0
avfs,Virtual file system that facilitates looking inside archives,7,27,181,0
avian,Lightweight VM and class library for a subset of Java features,0,2,36,0
aview,ASCII-art image browser and animation viewer,20,72,345,0
avimetaedit,"Tool for embedding, validating, and exporting of AVI files metadata",4,11,25,0
avra,Assembler for the Atmel AVR microcontroller family,22,72,360,0
avrdude,Atmel AVR MCU programmer,1430,4200,16138,0
avro-c,Data serialization system,3066,9542,31919,0
avro-cpp,Data serialization system,37,132,423,0
avro-tools,Avro command-line tools and utilities,378,1291,5010,0
awf,'A Widget Factory' is a theme preview application for gtk2 and gtk3,16,37,95,0
awk,Text processing scripting language,394,1105,4744,0
aws-apigateway-importer,Create or update Amazon API Gateway APIs from a Swagger or RAML API,19,43,133,0
aws-cdk,AWS Cloud Development Kit - framework for defining AWS infra as code,3176,8268,25741,0
aws-cfn-tools,Client for Amazon CloudFormation web service,47,123,777,0
aws-console,Command-line to use AWS CLI credentials to launch the AWS console in a browser,120,199,199,0
aws-elasticbeanstalk,Client for Amazon Elastic Beanstalk web service,5816,14418,59367,0
aws-es-proxy,Small proxy between HTTP client and AWS Elasticsearch,94,244,1369,0
aws-google-auth,Acquire AWS credentials using Google Apps,595,1502,5235,0
aws-iam-authenticator,Use AWS IAM credentials to authenticate to Kubernetes,13983,28585,107441,0
aws-keychain,Uses macOS keychain for storage of AWS credentials,22,58,295,0
aws-okta,Authenticate with AWS using your Okta credentials,1526,4685,19743,0
aws-rotate-key,Easily rotate your AWS access key,130,216,217,0
aws-sdk-cpp,AWS SDK for C++,199,566,2499,0
aws-shell,Integrated shell for working with the AWS CLI,605,2000,11502,0
awscli,Official Amazon AWS command-line interface,155528,436587,1473689,0
awscli@1,Official Amazon AWS command-line interface,2340,6785,25345,0
awscurl,Curl like simplicity to access AWS resources,269,682,2243,0
awslogs,Simple command-line tool to read AWS CloudWatch logs,656,2104,10180,0
awsume,Utility for easily assuming AWS IAM roles from the command-line,249,982,3180,0
awsweeper,CLI tool for cleaning your AWS account,26,62,178,0
axel,Light UNIX download accelerator,1997,7738,27014,0
azcopy,Azure Storage data transfer utility,742,1960,5556,0
azure-cli,Microsoft Azure CLI 2.0,32727,98032,346617,0
azure-storage-cpp,Microsoft Azure Storage Client Library for C++,17,36,279,0
b2-tools,B2 Cloud Storage Command-Line Tools,82,313,1494,0
b2sum,BLAKE2 b2sum reference binary,12,56,212,0
b3sum,BLAKE3 cryptographic hash function,21,79,580,0
b43-fwcutter,Extract firmware from Braodcom 43xx driver files,2,11,40,0
babel,Compiler for writing next generation JavaScript,445,1500,6572,0
babeld,Loop-avoiding distance-vector routing protocol,3,8,31,0
babl,"Dynamic, any-to-any, pixel format translation library",198,820,3594,0
backupninja,Backup automation tool,10,23,52,0
bacula-fd,Network backup solution,40,115,374,0
badtouch,Scriptable network authentication cracker,41,61,118,0
bagit,"Library for creation, manipulation, and validation of bags",19,55,273,0
balance,Software load balancer,0,6,38,0
balena-cli,Command-line tool for interacting with the balenaCloud and balena API,81,294,4014,0
ballerburg,Castle combat game,19,39,103,0
ballerina,Programming Language for Network Distributed Applications,109,460,2291,0
bam,Build system that uses Lua to describe the build process,7,13,29,0
bamtools,C++ API and command-line toolkit for BAM data,48,117,499,0
bandcamp-dl,Simple python script to download Bandcamp albums,80,275,1427,0
bandit,Security-oriented static analyser for Python code,37,49,49,0
bandwhich,Terminal bandwidth utilization tool,217,788,8573,0
baobab,Gnome disk usage analyzer,153,463,2523,0
bar,Provide progress bars for shell scripts,17,40,156,0
bareos-client,Client for Bareos (Backup Archiving REcovery Open Sourced),16,57,224,0
baresip,Modular SIP useragent,45,87,349,0
bartycrouch,Incrementally update/translate your Strings files,398,931,3073,0
base64,Encode and decode base64 files,274,714,3025,0
base91,Utility to encode and decode base91 files,7,12,60,0
basex,Light-weight XML database and XPath/XQuery processor,194,713,2756,0
bash,"Bourne-Again SHell, a UNIX command interpreter",24337,94939,322849,0
bash-completion,Programmable completion for Bash 3.2,9997,27245,122179,0
bash-completion@2,Programmable completion for Bash 4.2+,2020,6134,32973,0
bash-git-prompt,"Informative, fancy bash prompt for Git users",738,2168,9581,0
bash-preexec,Preexec and precmd functions for Bash (like Zsh),20,49,254,0
bash-snippets,Collection of small bash scripts for heavy terminal users,44,183,645,0
bashdb,Bash shell debugger,123,382,1278,0
bashish,Theme environment for text terminals,12,33,126,0
bastet,Bastard Tetris,169,380,833,0
bat,Clone of cat(1) with syntax highlighting and Git integration,7478,37217,157716,0
batik,Java-based toolkit for SVG images,81,121,395,0
bats,TAP-compliant test framework for Bash scripts,279,671,3024,0
bats-core,Bash Automated Testing System,241,870,5359,0
bazaar,Friendly powerful distributed version control system,304,868,4262,0
bazel,Google's own build tool,6870,20041,78784,0
bazelisk,User-friendly launcher for Bazel,1475,3593,11303,0
bbcolors,Save and load color schemes for BBEdit and TextWrangler,0,4,33,0
bbe,Sed-like editor for binary files,39,108,357,0
bbftp-client,"Secure file transfer software, optimized for large files",138,403,1615,0
bc,Arbitrary precision numeric processing language,127,427,2246,0
bcal,Storage conversion and expression calculator,4,16,141,0
bcftools,Tools for BCF/VCF files and variant calling from samtools,221,605,2439,0
bchunk,Convert CD images from .bin/.cue to .iso/.cdr,401,1156,4683,0
bcoin,Javascript bitcoin library for node.js and browsers,11,16,68,0
bcpp,C(++) beautifier,16,43,91,0
bcrypt,Cross platform file encryption utility using blowfish,229,605,2304,0
bde,Basic Development Environment: foundational C++ libraries used at Bloomberg,1,12,116,0
bdw-gc,Garbage collector for C and C++,250807,613797,1125408,0
beagle,Evaluate the likelihood of sequence evolution on trees,168,376,1501,0
beancount,Double-entry accounting tool that works on plain text files,95,184,559,0
beansdb,Yet another distributed key-value storage system,0,10,14,0
beanstalkd,Generic work queue originally designed to reduce web latency,150,537,2906,0
bear,Generate compilation database for clang tooling,809,1526,5069,0
beast,Bayesian Evolutionary Analysis Sampling Trees,48,107,446,0
bedops,Set and statistical operations on genomic data of arbitrary scale,34,90,496,0
bedtools,Tools for genome arithmetic (set theory on the genome),646,1434,5589,0
bee,Tool for managing database changes,12,39,188,0
beecrypt,C/C++ cryptography library,5,25,96,0
befunge93,Esoteric programming language,0,3,18,0
bench,Command-line benchmark tool,45,161,921,0
benthos,Stream processor for mundane tasks written in Go,151,375,1224,0
bento4,Full-featured MP4 format and MPEG DASH library and tools,157,613,2384,0
berglas,Tool for managing secrets on Google Cloud,75,215,1258,0
berkeley-db,High performance key/value database,3676,11196,51446,0
berkeley-db@4,High performance key/value database,860,2251,7170,0
bettercap,Swiss army knife for network attacks and monitoring,1043,1893,8003,0
betty,English-like interface for the command-line,6,13,40,0
bfg,Remove large files or passwords from Git history like git-filter-branch,3812,8533,22877,0
bgpdump,C library for analyzing MRT/Zebra/Quagga dump files,13,39,263,0
bgpq3,"BGP filtering automation for Cisco, Juniper, BIRD and OpenBGPD routers",30,71,303,0
bgpstream,For live and historical BGP data analysis,25,73,130,0
bgrep,Like grep but for binary strings,17,61,231,0
bib-tool,Manipulates BibTeX databases,60,163,936,0
bibclean,BibTeX bibliography file pretty printer and syntax checker,9,28,156,0
bibtex2html,BibTeX to HTML converter,20,57,248,0
bibtexconv,BibTeX file converter,21,89,272,0
bibutils,Bibliography conversion utilities,36,101,554,0
bic,C interpreter and API explorer,4,16,46,0
bigloo,"Scheme implementation with object system, C, and Java interfaces",7,22,95,0
binaryen,Compiler infrastructure and toolchain library for WebAssembly,746,2969,15242,0
bind,Implementation of the DNS protocols,1510,4964,18117,0
bindfs,FUSE file system for mounting to another location,159,527,3518,0
bingrep,Greps through binaries from various OSs and architectures,87,154,263,0
binkd,TCP/IP FTN Mailer,5,12,24,0
binutils,GNU binary tools for native development,9134,21677,66442,0
binwalk,Searches a binary image for embedded files and executable code,2376,5037,23510,0
bioawk,AWK modified for biological data,20,48,243,0
biosig,Tools for biomedical signal processing and data conversion,19,53,260,0
bison,Parser generator,23247,55406,249066,0
bison@2.7,Parser generator,119,318,1381,0
bit,Distributed Code Component Manager,155,427,2169,0
bit-git,Bit is a modern Git CLI,205,439,1204,0
bitchx,"Text-based, scriptable IRC client",46,147,732,0
bitcoin,"Decentralized, peer to peer payment network",378,710,2407,0
bitlbee,IRC to other chat networks gateway,36,96,438,0
bitrise,Command-line automation tool,778,1927,8546,0
bittwist,Libcap-based Ethernet packet generator,4,9,68,0
bitwarden-cli,Secure and free password manager for all of your devices,1226,3841,11766,0
bitwise,Terminal based bit manipulator in ncurses,8,34,129,0
black,Python code formatter,808,2658,13598,0
blackbox,Safely store secrets in Git/Mercurial/Subversion,299,1385,3868,0
blahtexml,Converts equations into Math ML,14,21,42,0
blast,Basic Local Alignment Search Tool,294,785,3190,0
blastem,Fast and accurate Genesis emulator,14,36,120,0
blaze,High-performance C++ math library for dense and sparse arithmetic,10,34,56,0
blazeblogger,CMS for the command-line,0,1,9,0
blazegraph,"Graph database supporting RDF data model, Sesame, and Blueprint APIs",6,17,118,0
blink1,Control blink(1) indicator light,9,33,236,0
blis,BLAS-like Library Instantiation Software Framework,17,62,149,0
blitz,Multi-dimensional array library for C++,32,69,308,0
blitzwave,C++ wavelet library,0,4,15,0
bloaty,Size profiler for binaries,55,331,1113,0
blockhash,Perceptual image hash calculation tool,54,108,221,0
blogc,Blog compiler with template engine and markup language,0,11,30,0
bltool,Tool for command-line interaction with backloggery.com,2,6,25,0
bluepill,Testing tool for iOS that runs UI tests using multiple simulators,47,94,671,0
bluetoothconnector,Connect and disconnect Bluetooth devices,226,762,4122,0
blueutil,Get/set bluetooth power and discoverable state,8909,24951,63964,0
bmake,Portable version of NetBSD make(1),78,203,1841,0
bmon,Interface bandwidth monitor,176,563,2434,0
bnd,Swiss Army Knife for OSGi bundles,19,53,406,0
bnfc,BNF Converter,11,41,195,0
bochs,Open source IA-32 (x86) PC emulator written in C++,190,488,2239,0
bogofilter,Mail filter via statistical analysis,2,11,35,0
bombadillo,"Non-web browser, designed for a growing list of protocols",61,203,346,0
bond,Cross-platform framework for working with schematized data,2,11,65,0
bonnie++,Benchmark suite for file systems and hard drives,23,84,629,0
bookloupe,List common formatting errors in a Project Gutenberg candidate file,11,22,40,0
boom-completion,Bash and Zsh completion for Boom,7,25,75,0
boost,Collection of portable C++ source libraries,52370,180667,649210,0
boost-bcp,Utility for extracting subsets of the Boost library,37,227,697,0
boost-build,C++ build system,1059,3949,16742,0
boost-mpi,C++ library for C++/MPI interoperability,124,435,1354,0
boost-python,C++ library for C++/Python2 interoperability,1277,4650,24407,0
boost-python3,C++ library for C++/Python3 interoperability,2559,9343,33635,0
boost@1.57,Collection of portable C++ source libraries,2,11,274,0
boost@1.60,Collection of portable C++ source libraries,10,49,3036,0
boot-clj,Build tooling for Clojure,101,338,2982,0
bootloadhid,HID-based USB bootloader for AVR microcontrollers,833,2417,8496,0
borgbackup,Deduplicating archiver with compression and authenticated encryption,476,2265,5008,0
borgmatic,Simple wrapper script for the Borg backup software,41,174,813,0
boringtun,Userspace WireGuard implementation in Rust,5,30,124,0
bork,Bash-Operated Reconciling Kludge,1,8,33,0
botan,Cryptographic algorithms and formats library in C++,287,1450,4435,0
bower,Package manager for the web,2083,3228,10281,0
bowtie2,Fast and sensitive gapped read aligner,209,659,2846,0
box2d,2D physics engine for games,17,63,132,0
boxes,Draw boxes around text,66,233,867,0
bpm-tools,Detect tempo of audio files using beats-per-minute (BPM),9,40,192,0
bpython,Fancy interface to the Python interpreter,180,199,200,0
bpytop,Linux/OSX/FreeBSD resource monitor,1980,5759,5770,0
brag,Download and assemble multipart binaries from newsgroups,0,1,6,0
braid,Simple tool to help track vendor branches in a Git repository,4,14,29,0
brainfuck,Interpreter for the brainfuck language,37,95,379,0
breezy,Version control system implemented in Python with multi-format support,10,25,73,0
brew-cask-completion,Fish completion for brew-cask,4038,6284,13363,0
brew-gem,Install RubyGems as Homebrew formulae,987,1823,4521,0
brew-php-switcher,Switch Apache / Valet / CLI configs between PHP versions,916,3334,8054,0
brew-pip,Install pip packages as homebrew formulae,894,2485,5147,0
brightness,Change macOS display brightness from the command-line,417,1313,5279,0
briss,Crop PDF files,22,74,285,0
brogue,Roguelike game,30,85,330,0
broot,New way to see and navigate directory trees,3703,10601,39073,0
brotli,Generic-purpose lossless compression algorithm by Google,62547,192019,519454,0
browser,Pipe HTML to a browser,22,58,289,0
bsdconv,Charset/encoding converter library,2,27,48,0
bsdiff,Generate and apply patches to binary files,186,456,2573,0
bsdmake,BSD version of the Make build tool,41,122,469,0
bsdsfv,SFV utility tools,3,8,30,0
bsponmpi,Implements the BSPlib standard on top of MPI,6,14,36,0
